box_id,layer,box_number,hour,simulation_count,mean_simulated_value,stdev_simulated_value,min_simulated_value,p05_simulated_value,p50_simulated_value,p95_simulated_value,max_simulated_value,risk_percent,observed_average,observed_stdev
L4B17,4,17,18,500,3.68847921775222,1.5357057969046644,-0.9850647609195128,1.1446173960985817,3.7651920511597474,6.1644209443542275,8.589283244378453,42.6,3.75,1.5242484486898231
L4B17,4,17,24,500,5.615683654286565,1.7272223080133848,0.8874764648093683,2.6307569516453433,5.618809880737524,8.294780452083902,11.36748268641872,81.6,5.574999999999999,1.6640813281407485
L4B18,4,18,0,500,-0.3408129825699829,0.39867610076345206,-1.778506839333517,-1.045028097765202,-0.3263637315335909,0.29933720617070764,0.7232124004161142,0.0,-0.3249999999999999,0.3862210075418822
L4B18,4,18,6,500,0.07811813627941332,0.9373823865928722,-2.6288643365116977,-1.4997076852792317,0.0713843371269951,1.5811523978160886,2.7185032243329905,0.0,0.0499999999999999,0.957427107756338
L4B18,4,18,12,500,2.749856528239105,1.0587073187896041,-0.7778805955142563,1.1054013493545782,2.7784862017517624,4.362735975887253,5.897382560751327,12.0,2.725,1.0874281585465773
L4B18,4,18,18,500,4.890080441627301,1.7369958726839387,-0.5167926499473792,2.151543639002063,5.005133099975466,7.758142924025104,9.546987695033742,69.39999999999999,4.8500000000000005,1.6999999999999975
L4B18,4,18,24,500,6.813776749094893,1.9430827470915,0.8627046127975841,3.5164790519246814,6.854703240100589,9.936644590877695,12.325654893320763,91.60000000000001,6.875,2.0039544239661065
L4B19,4,19,0,500,-0.6610553587874787,0.13450488376473316,-1.0683322190104998,-0.8713553135235471,-0.6610576294902324,-0.4336610059279232,-0.2130465336862638,0.0,-0.675,0.125830573921179
L4B19,4,19,6,500,-0.7490280241791053,0.0578616090749841,-0.9381357395051289,-0.8436539659685298,-0.7479704749632703,-0.6488537686445766,-0.585396928378552,0.0,-0.75,0.0577350269189626
L4B19,4,19,12,500,-0.36948555805614863,0.7580979657940212,-2.4102831778759524,-1.7058003578130112,-0.3618186069230179,0.8230260148624631,1.626335032233321,0.0,-0.4,0.7527726527090811
L4B19,4,19,18,500,1.613611019396062,2.261646490556464,-4.149601625016132,-2.194356668312182,1.6200426967623596,5.466732016820134,7.782336336164189,14.799999999999999,1.625,2.2096379793984355
L4B19,4,19,24,500,3.836466283573379,2.942057404301342,-5.385330755195371,-1.1467963644499337,3.7497733652858756,8.595558615562776,12.654503305078896,47.0,3.8,2.8343135559308426
L4B20,4,20,0,500,-0.40325776241074895,0.31047210212868925,-1.2638669548077677,-0.9353016655105661,-0.40812145873921074,0.09296979161035052,0.4098113856578831,0.0,-0.375,0.3201562118716424
L4B20,4,20,6,500,0.4787564782549613,1.0501060931126507,-3.1022646145949784,-1.2656966423638638,0.482037484519664,2.078242180768837,3.799138691518139,0.0,0.5,1.0677078252031311
L4B20,4,20,12,500,2.330391482709599,1.8000137169490147,-2.1659139167325074,-0.6759471606568404,2.2786217661883184,5.451174837913821,7.378692504811701,17.8,2.375,1.7231270024773764
L4B20,4,20,18,500,3.7479133525066812,1.7950694922052983,-1.6490779962494535,0.7838579818266359,3.656328573072993,6.673737054510112,8.76278609393109,41.6,3.8,1.783255450012702
L4B20,4,20,24,500,5.769644970337782,1.3634565610581675,1.7599456203961985,3.5661265785733676,5.788599947603746,7.962490158743663,9.83741793736478,90.4,5.775,1.4660036380127657
