box_id,layer,box_number,hour,x_inches,y_inches,z_inches,exposed_surfaces,observed_mean,observed_stdev,observed_trial_count,simulation_count,mean_simulated_value,stdev_simulated_value,p05_simulated_value,p50_simulated_value,p95_simulated_value,risk_percent,mean_difference,absolute_mean_difference,observed_is_risky,monte_carlo_is_risky,risk_agreement,observed_inside_5_95_interval
L1B5,1,5,12,40.0,11.75,35.0,3,4.625,0.6551081335677852,4,500,4.609734103333057,0.6338428874411817,3.5938078174863195,4.626328006722554,5.646289380887892,83.6,-0.01526589666694278,0.01526589666694278,True,True,True,True
L1B5,1,5,18,40.0,11.75,35.0,3,6.2,1.0739335795724674,4,500,6.230816146191565,1.1090586098640438,4.392463161273039,6.203562528696466,8.044692295244515,97.8,0.030816146191565252,0.030816146191565252,True,True,True,True
L1B5,1,5,24,40.0,11.75,35.0,3,7.575,0.537742193496723,4,500,7.574594525045573,0.5155187933365408,6.678112743041621,7.573389890636236,8.41051295164656,100.0,-0.00040547495442755377,0.00040547495442755377,True,True,True,True
L2B10,2,10,0,40.0,27.75,25.0,2,-1.0,0.1414213562373095,5,500,-0.9858595858005677,0.152343995717576,-1.2531794751658474,-0.9870056008274564,-0.7467986809082675,0.0,0.01414041419943235,0.01414041419943235,False,False,True,True
L2B10,2,10,6,40.0,27.75,25.0,2,-0.82,0.3563705936241091,5,500,-0.8262325920304626,0.3719577981854944,-1.4320184817912476,-0.8309687276084408,-0.220978327733911,0.0,-0.006232592030462669,0.006232592030462669,False,False,True,True
L2B10,2,10,12,40.0,27.75,25.0,2,0.56,1.2054044964243331,5,500,0.5852147520954246,1.2271308442908306,-1.5061523794756182,0.6305262829491345,2.539909491133152,0.4,0.025214752095424564,0.025214752095424564,False,False,True,True
L2B10,2,10,18,40.0,27.75,25.0,2,1.52,1.130044246921332,5,500,1.4867484970422915,1.126201621731573,-0.3842693628061092,1.502907515755873,3.276026332683216,1.6,-0.03325150295770851,0.03325150295770851,False,False,True,True
L2B10,2,10,24,40.0,27.75,25.0,2,3.22,0.9093954035511728,5,500,3.3023750400593674,0.8968352927429811,1.9102344694789464,3.257252299138917,4.757057225038525,22.4,0.08237504005936724,0.08237504005936724,False,False,True,True
L2B6,2,6,0,11.75,8.0,25.0,2,-0.54,0.8203657720797474,5,500,-0.5547879461709403,0.8365116934728914,-1.8029495527995023,-0.5472938893431443,0.7774556874890273,0.0,-0.014787946170940258,0.014787946170940258,False,False,True,True
L2B6,2,6,6,11.75,8.0,25.0,2,0.3399999999999999,0.960728889958036,5,500,0.3856671495152367,0.9965220146591814,-1.1902772079801385,0.3921463678748643,2.014330550109553,0.2,0.04566714951523676,0.04566714951523676,False,False,True,True
L2B6,2,6,12,11.75,8.0,25.0,2,2.12,1.056882207249228,5,500,2.1195137367486643,1.0899450585870631,0.3756394079301717,2.0633371286070883,4.011022884071181,5.2,-0.0004862632513358278,0.0004862632513358278,False,False,True,True
L2B6,2,6,18,11.75,8.0,25.0,2,4.0,0.997496867163,5,500,4.01057572181753,0.9582375710829814,2.404334510648205,3.997880541616879,5.496483834267467,50.0,0.010575721817530415,0.010575721817530415,True,True,True,True
L2B6,2,6,24,11.75,8.0,25.0,2,5.7,1.4124446891825533,5,500,5.7639253450404295,1.4206631384339103,3.3358531074432265,5.786194090510063,8.077556281042888,89.0,0.06392534504042935,0.06392534504042935,True,True,True,True
L2B7,2,7,0,35.25,8.0,25.0,1,-0.94,0.5319774431308155,5,500,-0.945381745889578,0.4968361583148433,-1.7469572150109052,-0.9569220293884236,-0.1177559024547678,0.0,-0.005381745889578071,0.005381745889578071,False,False,True,True
L2B7,2,7,6,35.25,8.0,25.0,1,-1.04,0.1140175425099137,5,500,-1.038864866263716,0.1185099723080564,-1.230477775626901,-1.038570665640473,-0.8314959315321636,0.0,0.001135133736283933,0.001135133736283933,False,False,True,True
L2B7,2,7,12,35.25,8.0,25.0,1,-0.14,1.1371015785759864,5,500,-0.097878069371494,1.1747424055928686,-2.091199076124154,-0.1272212104331385,1.7468792058307638,0.0,0.04212193062850601,0.04212193062850601,False,False,True,True
L2B7,2,7,18,35.25,8.0,25.0,1,1.22,1.6783920876839236,5,500,1.2775272076766753,1.6655139937701244,-1.3995860294586997,1.2340996483997648,3.9487904096342055,4.8,0.057527207676675296,0.057527207676675296,False,False,True,True
L2B7,2,7,24,35.25,8.0,25.0,1,2.8,2.118962010041709,5,500,2.6562152811969866,2.144609644796983,-1.056616945408407,2.6177993327091227,6.35877232217255,24.8,-0.14378471880301325,0.14378471880301325,False,False,True,True
L2B8,2,8,0,8.0,27.75,25.0,2,-0.94,0.2701851217221259,5,500,-0.954237319229945,0.2720732617643379,-1.3650259760317625,-0.9556032064850422,-0.4976604902212375,0.0,-0.014237319229945089,0.014237319229945089,False,False,True,True
L2B8,2,8,6,8.0,27.75,25.0,2,-0.9600000000000002,0.2792848008753788,5,500,-0.952178107415157,0.2757283806149367,-1.3915836835165858,-0.9579928612989396,-0.5165842208383172,0.0,0.007821892584843226,0.007821892584843226,False,False,True,True
L2B8,2,8,12,8.0,27.75,25.0,2,0.22,1.0329569206893383,5,500,0.2274033155147685,1.0232261450288964,-1.521441746225673,0.2452324953884005,1.742800456470839,0.2,0.007403315514768499,0.007403315514768499,False,False,True,True
